JournalTitle,MedAbbr,ISSN,eISSN,JIF_2024,JIF_Quartile,CAS_Quartile
Health facilities management,Health Facil Manage,0899-6210,1943-5142,,,
Journal of the Association for Physical and Mental Rehabilitation,J Assoc Phys Ment Rehabil,0098-8448,,,,
Journal of biological photography,J Biol Photogr,0274-497X,,,,
International journal of instructional media,Int J Instr Media,0092-1815,,,,
The Journal of the Association of Physicians of India,J Assoc Physicians India,0004-5772,,,,
The Journal of asthma research,J Asthma Res,0021-9134,,,,
Journal of atherosclerosis research,J Atheroscler Res,0368-1319,,,,
The Journal of auditory research,J Aud Res,0021-9177,,,,
Journal Of The Australian Institute Of Surgical And Dental Technicians (Melbourne),J Aust Inst Surg Dent Tech,0313-8356,,,,
Hospital guest relations report,Hosp Guest Relations Rep,0899-8957,,,,
Journal of autism and childhood schizophrenia,J Autism Child Schizophr,0021-9185,,,,
"Interior design (New York, N.Y.)",Inter Des,0020-5508,,,,
Journal belge de medecine physique et de rehabilitation. = Belgisch tijdschrift voor fysische geneeskunde en rehabilitatie,J Belge Med Phys Rehabil,0250-4766,,,,
Journal of the Baltimore College of Dental Surgery,J Baltimore Coll Dent Surg,0067-3072,,,,
Journal belge de medecine physique = Belgisch tijdschrift voor fysische geneeskunde,J Belge Med Phys,0378-9500,,,,
Journal belge de radiologie,J Belge Radiol,0302-7430,,,,
Journal belge de rhumatologie et de medecine physique = Belgisch tijdschrift voor reumatologie en fysische geneeskunde,J Belge Rhumatol Med Phys,0021-7654,,,,
The journal of the Bergen County Dental Society. Bergen County Dental Society,J Bergen Cty Dent Soc,0092-9832,,,,
Contract interiors,Contract Inter,0148-012X,,,,
The Journal of biocommunication,J Biocommun,0094-2499,1936-4563,,,
Journal of bioenergetics,J Bioenerg,0449-5705,,,,
Journal de biologie buccale,J Biol Buccale,0301-3952,,,,
Journal of bioengineering,J Bioeng,0145-3068,,,,
Health industry today,Health Ind Today,0745-4678,,,,
Journal of the Biological Photographic Association,J Biol Photogr Assoc,0006-3215,,,,
Journal of biological standardization,J Biol Stand,0092-1157,,,,
Journal of autonomic pharmacology,J Auton Pharmacol,0144-1795,1365-2680,,,
Journal de biomateriaux dentaires : [publication du College francais de biomateriaux dentaires],J Biomater Dent,0295-6195,,,,
Journal of biomedical materials research,J Biomed Mater Res,0021-9304,1097-4636,,,
Journal of biosocial science. Supplement,J Biosoc Sci Suppl,0300-9645,,,,
The Journal of bone and joint surgery. British volume,J Bone Joint Surg Br,0301-620X,2044-5377,,,
Journal of the British Endodontic Society,J Br Endod Soc,0007-0653,,,,
Jornal brasileiro de doencas toracicas,J Bras Doencas Torac,0047-2069,,,,
The Journal of business strategy,J Bus Strategy,0275-6668,,,,
Jornal brasileiro de psiquiatria,J Bras Psiquiatr,0047-2085,,,,
The Journal of burn care & rehabilitation,J Burn Care Rehabil,0273-8481,,,,
Hospital law newsletter,Hosp Law Newsl,0738-0984,,,,
Journal - California Dental Association,J Calif Dent Assoc (1961),0008-0977,,,,
Journal of the Canadian Association of Radiologists,J Can Assoc Radiol,0008-2902,,,,
Journal of the Canadian Dental Association,J Can Dent Assoc (Tor),0008-3372,,,,
Journal of the Canadian Dietetic Association,J Can Diet Assoc,0008-3399,,,,
Health manpower management,Health Manpow Manage,0955-2065,,,,
Journal of cellular physiology. Supplement,J Cell Physiol Suppl,0737-1462,,,,
Hospital entrepreneurs' newsletter,Hosp Entrep Newsl,8756-7253,,,,
Journal of cell science. Supplement,J Cell Sci Suppl,0269-3518,,,,
Journal of chemical documentation,J Chem Doc,0021-9576,,,,
The Journal of diabetic complications,J Diabet Complications,0891-6632,,,,
Journal of chemical information and computer sciences,J Chem Inf Comput Sci,0095-2338,,,,
Journal of the Chemical Society. Perkin transactions 1,J Chem Soc Perkin 1,0300-922X,2050-8255,,,
Hospital aviation,Hosp Aviat,0740-8315,,,,
Hospital material[dollar sign] management,Hosp Mater Manage,0888-3068,,,,
Book supplement to the Journal of child psychology and psychiatry,Book Suppl J Child Psychol Psychiatr,0164-1735,,,,
Health planning & manpower reports,Health Plann Manpow Rep (1976),0362-3165,,,,
Hospital practice (Hospital ed.),Hosp Pract (Hosp Ed),8755-4542,,,,
Journal de chirurgie,J Chir (Paris),0021-7697,1773-0422,,,
The Journal of forensic odonto-stomatology,J Forensic Odontostomatol,0258-414X,2219-6749,,,
"Health promotion (Oxford, England)",Health Promot,0268-1099,,,,
Hospital practice (Office ed.),Hosp Pract (Off Ed),8750-2836,,,,
"Health progress (Saint Louis, Mo.)",Health Prog,0882-1577,,,,
To Helleniko periodiko gia stomatike & gnathoprosopike cheirourgike,Hell Period Stomat Gnathopathoprosopike Cheir,1105-1124,,,,
Journal of clinical engineering,J Clin Eng,0363-8855,,,,
Journal of chromatography. Supplementary volume,J Chromatogr Suppl,0376-737X,,,,
Journal of nursing quality assurance,J Nurs Qual Assur,0889-4647,,,,
Journal of quality assurance : a publication of the National Association of Quality Assurance Professionals,J Qual Assur,1062-0273,,,,
Journal of clinical computing,J Clin Comput,0090-1091,,,,
Nihon Ika Daigaku zasshi,Nihon Ika Daigaku Zasshi,0048-0444,,,,
Journal of craniofacial genetics and developmental biology,J Craniofac Genet Dev Biol,0270-4145,,,,
Journal of immunoassay,J Immunoassay,0197-1522,,,,
Hospital strategy report,Hosp Strategy Rep,1040-6263,,,,
Journal of clinical orthodontics : JCO,J Clin Orthod,0022-3875,1945-225X,,,
Journal of collective negotiations in the public sector,J Collect Negotiations Public Sect,0047-2301,,,,
Journal of clinical pathology. Supplement (Royal College of Pathologists),J Clin Pathol Suppl (R Coll Pathol),0144-0330,,,,
Journal of clinical pathology. Supplement (Association of Clinical Pathologists),J Clin Pathol Suppl (Assoc Clin Pathol),0144-0349,,,,
The Journal of clinical pharmacology and new drugs,J Clin Pharmacol New Drugs,0021-9754,,,,
Journal of craniomandibular disorders : facial & oral pain,J Craniomandib Disord,0890-2739,,,,
Hospital technology series,Hosp Technol Ser,0888-711X,,,,
Journal of clinical and hospital pharmacy,J Clin Hosp Pharm,0143-3180,,,,
Journal of clinical neuro-ophthalmology,J Clin Neuroophthalmol,0272-846X,,,,
Journal of clinical neuropsychology,J Clin Neuropsychol,0165-0475,,,,
The Journal of the College of General Practitioners,J Coll Gen Pract,0307-4749,,,,
Journal of the College of Radiologists of Australasia,J Coll Radiol Australas,0374-8545,,,,
Journal of the Colorado Dental Association,J Colo Dent Assoc,0010-1559,,,,
The Journal of compliance in health care : JCHC,J Compliance Health Care,0887-6509,,,,
Journal of comparative and physiological psychology,J Comp Physiol Psychol,0021-9940,,,,
Journal - Connecticut State Dental Association,J Conn State Dent Assoc,0010-6232,,,,
Journal of consulting psychology,J Consult Psychol,0095-8891,,,,
Journal of cyclic nucleotide research,J Cyclic Nucleotide Res,0095-1544,,,,
Journal of cyclic nucleotide and protein phosphorylation research,J Cyclic Nucleotide Protein Phosphor Res,0746-3898,,,,
District of Columbia Dental Society journal. District of Columbia Dental Society,J Dist Columbia Dent Soc,0012-4060,,,,
Health services management,Health Serv Manage,0953-8534,,,,
The Journal of the Dental Association of South Africa = Die Tydskrif van die Tandheelkundige Vereniging van Suid-Afrika,J Dent Assoc S Afr,0011-8516,,,,
The Journal of the Dental Association of Thailand,J Dent Assoc Thai,0045-9917,,,,
Journal of dentistry for the handicapped,J Dent Handicap,0163-8629,,,,
"The Journal of the dental auxiliaries, Malaya, Malaysia",J Dent Aux,0449-5144,,,,
ASDC journal of dentistry for children,ASDC J Dent Child,1945-1954,,,,
The Journal of dermatologic surgery,J Dermatol Surg,0097-9716,,,,
Koku Eisei Gakkai zasshi,Koku Eisei Gakkai Zasshi,0023-2831,,,,
Le Journal dentaire du Quebec,J Dent Que,0021-7999,,,,
Journal of dialysis,J Dial,0362-8558,,,,
The Journal of dermatologic surgery and oncology,J Dermatol Surg Oncol,0148-0812,,,,
The Journal of the Egyptian Medical Association,J Egypt Med Assoc,0013-2411,,,,
Journal of enterostomal therapy,J Enterostomal Ther,0270-1170,,,,
The Journal of the Egyptian Public Health Association,J Egypt Public Health Assoc,0013-2446,2090-262X,,,
Journal of electron microscopy,J Electron Microsc (Tokyo),0022-0744,1477-9986,,,
Journal of embryology and experimental morphology,J Embryol Exp Morphol,0022-0752,,,,
Journal of environmental pathology and toxicology,J Environ Pathol Toxicol,0146-4779,,,,
Journal of existentialism,J Existent,0449-2498,,,,
Journal of the experimental analysis of behavior,J Exp Anal Behav,0022-5002,1938-3711,,,
Journal of microsurgery,J Microsurg,0191-3239,,,,
Journal of experimental medical sciences,J Exp Med Sci,0022-099X,,,,
Journal of experimental psychology,J Exp Psychol,0022-1015,,,,
Journal of experimental psychology. Animal behavior processes,J Exp Psychol Anim Behav Process,0097-7403,1939-2184,,,
Journal of clinical chemistry and clinical biochemistry. Zeitschrift fur klinische Chemie und klinische Biochemie,J Clin Chem Clin Biochem,0340-076X,,,,
Journal of experimental psychology. Human learning and memory,J Exp Psychol Hum Learn,0096-1515,,,,
The Journal of experimental zoology,J Exp Zool,0022-104X,1097-010X,,,
The Journal of family practice,J Fam Pract,0094-3509,1533-7294,,,
The Journal of the Florida Medical Association,J Fla Med Assoc,0015-4148,,,,
The Journal of the Florida State Dental Society,J Fla State Dent Soc,0360-1676,,,,
Journal of forensic medicine,J Forensic Med,0022-1171,,,,
Journal - Forensic Science Society,J Forensic Sci Soc,0015-7368,1876-4282,,,
Taiwan yi xue hui za zhi. Journal of the Formosan Medical Association,Taiwan Yi Xue Hui Za Zhi,0371-7682,,,,
Journal francais de medecine et chirurgie thoraciques,J Fr Med Chir Thorac,0021-8324,,,,
"Journal francais d'oto-rhino-laryngologie; audiophonologie, chirurgie maxillo-faciale",J Fr Otorhinolaryngol Audiophonol Chir Maxillofac,0398-9771,,,,
Journal of the Georgia Dental Association,J Ga Dent Assoc,0016-819X,,,,
Journal of general microbiology,J Gen Microbiol,0022-1287,,,,
Journal of healthcare materiel management,J Healthc Mater Manage,0889-2482,,,,
Journal of health care marketing,J Health Care Mark,0737-3252,,,,
Journal of the Charles H. Tweed International Foundation,J Charles H. Tweed Int Found,0885-3517,,,,
Journal of geriatric psychiatry,J Geriatr Psychiatry,0022-1414,,,,
Journal of developmental physiology,J Dev Physiol,0141-9846,,,,
Journal of bioethics,J Bioeth,0278-9523,,,,
Journal of craniofacial genetics and developmental biology. Supplement,J Craniofac Genet Dev Biol Suppl,0890-6661,,,,
The Journal of foot surgery,J Foot Surg,0449-2544,,,,
Journal of free radicals in biology & medicine,J Free Radic Biol Med,0748-5514,,,,
Journal of environmental science and health. Part C: Environmental health sciences,J Environ Sci Health C,0360-1242,,,,
Journal of gerontology,J Gerontol,0022-1422,,,,
Journal of the Dental Guidance Council on the Handicapped,J Dent Guid Counc Handicap,0147-3972,,,,
Gifu Shika Gakkai zasshi = The Journal of Gifu Dental Society,Gifu Shika Gakkai Zasshi,0385-0072,,,,
"Journal de gynecologie, obstetrique et biologie de la reproduction",J Gynecol Obstet Biol Reprod (Paris),0368-2315,1773-0430,,,
Journal of the Hawaii Dental Association,J Hawaii Dent Assoc,0017-8616,,,,
Journal of the Hawaii State Dental Association,J Hawaii State Dent Assoc,0092-5578,,,,
Journal of diarrhoeal diseases research,J Diarrhoeal Dis Res,0253-8768,,,,
The Journal of communicable diseases,J Commun Dis,0019-5138,2581-351X,,,
The Journal of health administration education,J Health Adm Educ,0735-6722,2158-8236,,,
Journal of health and hospital law : a publication of the American Academy of Hospital Attorneys of the American Hospital Association,J Health Hosp Law,1046-4360,,,,
Infection control Canada,Infect Control Can,0833-076X,,,,
Intensive care nursing,Intensive Care Nurs,0266-612X,,,,
Journal fur Hirnforschung,J Hirnforsch,0021-8359,,,,
Indiana medicine : the journal of the Indiana State Medical Association,Indiana Med,0746-8288,,,,
Hiroshima Daigaku shigaku zasshi. The Journal of Hiroshima University Dental Society,Hiroshima Daigaku Shigaku Zasshi,0046-7472,,,,
The Journal of contemporary health law and policy,J Contemp Health Law Policy,0882-1046,,,,
Hokkaido Shika Ishikai shi,Hokkaido Shika Ishikai Shi,0073-2915,,,,
Journal of hospital dental practice,J Hosp Dent Pract,0022-1600,,,,
Journal of human nutrition,J Hum Nutr,0308-4329,,,,
Journal of human ergology,J Hum Ergol (Tokyo),0300-8134,1884-3964,,,
Journal of human stress,J Human Stress,0097-840X,,,,
The Journal of hygiene,J Hyg (Lond),0022-1724,,,,
Journal of immunogenetics,J Immunogenet,0305-1811,,,,
Instructional course lectures,Instr Course Lect,0065-6895,,,,
Journal of immunopharmacology,J Immunopharmacol,0163-0571,,,,
Journal of the Indian Academy of Dentistry,J Indian Acad Dent,0019-4255,,,,
Journal of the Indian Dental Association,J Indian Dent Assoc,0019-4611,,,,
Journal of the Indian Medical Association,J Indian Med Assoc,0019-5847,,,,
Journal of the Indian medical profession,J Indian Med Prof,0019-588X,,,,
The Journal of the Indiana State Dental Association,J Indiana State Dent Assoc,0092-6116,,,,
The Journal of the Indiana State Medical Association,J Indiana State Med Assoc,0019-6770,,,,
Journal of individual psychology,J Individ Psychol,0022-1805,,,,
Journal of cardiography,J Cardiogr,0386-2887,,,,
The Journal of cranio-mandibular practice,J Craniomandibular Pract,0734-5410,,,,
Journal d'urologie,J Urol (Paris),0248-0018,,,,
Journal of the International Association of Dentistry for Children,J Int Assoc Dent Child,0309-6858,,,,
Journal Of The International College Of Dentists; Japan Section,J Int Coll Dent (Jpn),0912-1471,,,,
The Journal of the International College of Surgeons,J Int Coll Surg,0096-557X,,,,
Journal of the Iowa Medical Society,J Iowa Med Soc,0021-0587,,,,
Journal of the Irish Dental Association,J Ir Dent Assoc,0021-1133,,,,
Journal of the Irish Medical Association,J Ir Med Assoc,0021-129X,,,,
International journal of cell cloning,Int J Cell Cloning,0737-1454,,,,
International journal of cardiac imaging,Int J Card Imaging,0167-9899,1573-0743,,,
Journal of the Egyptian Society of Parasitology,J Egypt Soc Parasitol,1110-0583,,,,
Journal of interferon research,J Interferon Res,0197-8357,,,,
Journal of ultrastructure and molecular structure research,J Ultrastruct Mol Struct Res,0889-1605,,,,
Indian journal of leprosy,Indian J Lepr,0254-9395,,,,
International journal of pancreatology : official journal of the International Association of Pancreatology,Int J Pancreatol,0169-4197,2363-5134,,,
Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases,Kansenshogaku Zasshi,0387-5911,1884-569X,,,
Seikagaku. The Journal of Japanese Biochemical Society,Seikagaku,0037-1017,2189-0544,,,
IMA journal of mathematics applied in medicine and biology,IMA J Math Appl Med Biol,0265-0746,,,,
Kaiin dayori. [Membership news]. Nippon Kontakuto Renzu Gakkai,Kaiin Dayori Nihon Kontakuto Renzu Gakkai,0374-9851,,,,
"IMS, Industrial medicine and surgery",IMS Ind Med Surg,0163-934X,,,,
Immunobiology. Supplement,Immunobiol Suppl,0722-6365,,,,
Nihon Shika Ishikai zasshi,Nihon Shika Ishikai Zasshi,0047-1763,,,,
Nihon Ishikai zasshi. Journal of the Japan Medical Association,Nihon Ishikai Zasshi,0021-4493,,,,
"Inform (Silver Spring, Md.)",Inform,0892-3876,,,,
The International journal of adult orthodontics and orthognathic surgery,Int J Adult Orthodon Orthognath Surg,0742-1931,,,,
Information management (PTN Publishing Corporation),Inf Manage,0739-9049,,,,
Nihon Sanka Fujinka Gakkai zasshi,Nihon Sanka Fujinka Gakkai Zasshi,0300-9165,,,,
Insight (American Society of Ophthalmic Registered Nurses),Insight,1060-135X,1532-6594,,,
Intercom,Intercom (Des Moines),0273-9127,,,,
International journal of leprosy and other mycobacterial diseases : official organ of the International Leprosy Association,Int J Lepr Other Mycobact Dis,0148-916X,1544-581X,,,
Journal of the Japanese Obstetrical & Gynecological Society,J Jpn Obstet Gynecol Soc,0388-0486,,,,
Nihon Shishubyo Gakkai kaishi,Nihon Shishubyo Gakkai Kaishi,0385-0110,1880-408X,,,
Nihon Kyosei Shika Gakkai zasshi = The journal of Japan Orthodontic Society,Nihon Kyosei Shika Gakkai Zasshi,0021-454X,,,,
Nihon Seikeigeka Gakkai zasshi,Nihon Seikeigeka Gakkai Zasshi,0021-5325,2758-7479,,,
Nihon Gan Chiryo Gakkai shi,Nihon Gan Chiryo Gakkai Shi,0021-4671,,,,
Nihon Daicho Komonbyo Gakkai zasshi,Nihon Daicho Komonbyo Gakkai Zasshi,0047-1801,1882-9619,,,
